,tel,link,descricao
BRASA VIVA,+55 19 3844-7975,"['https://www.tripadvisor.com.ph/Restaurant_Review-g303620-d5352057-Reviews-Brasa_Viva-Paulinia_State_of_Sao_Paulo.html', 'https://foursquare.com/v/brasa-viva/52e14250498e3733fecf2dfa', 'https://www.tripadvisor.fr/Restaurant_Review-g303620-d5352057-Reviews-Brasa_Viva-Paulinia_State_of_Sao_Paulo.html', 'https://restaurantguru.com/Brasa-Viva-Paulinia', 'https://www.solutudo.com.br/empresas/sp/paulinia/restaurantes/brasa-viva-10163536', 'https://www.guiatelefone.com/paulinia-sp/restaurantes/2835350/brasa-viva', 'https://inteligue.com.br/brasa-viva-paulinia', 'https://www.guiaurbana.com.br/e/brasa-viva-paulinia-sp', 'https://www.econodata.com.br/consulta-empresa/06318458000170-BRASA-VIVA-RESTAURANTE-LTDA']","['Brasa Viva, Paulinia: See 4 unbiased reviews of Brasa Viva, rated 4.5 of 5 on Tripadvisor and ranked #67 of 144 restaurants in Paulinia.', 'Nearby: Get inspired: Top Picks · Trending · Food · Coffee · Nightlife\xa0...', ""Brasa Viva, SP n'a pas encore assez de notes sur ses plats, son service, son rapport qualité/prix ou son ambiance. Écrivez l'un des premiers avis !"", 'Jan 14, 2023 — Brasa Viva Restaurante, #190 among Paulinia restaurants: 201 reviews by visitors and 4 detailed photos. Find on the map and call to book a\xa0...', 'Ver endereço. Rua Salvador Lombardi Neto, 25, Nova Paulinia Paulínia/SP - CEP 13140-031.', 'Brasa Viva, o melhor lugar para comer da região. Aqui você encontra a comida mais deliciosa da cidade de Paulínia, SP. Espaço ideal para fazer reuniões de\xa0...', 'Veja o telefone e endereço da empresa BRASA VIVA Paulínia, Restaurante em Paulínia - SP. R Salvador Lombardi Netto, Nova Paulínia. Fone (19) 3833-258...', 'Endereço, telefone e avaliações de Brasa Viva - Restaurante. ... Rua Salvador Lombardi Netto, 25 - FRENTE - Nova Paulínia - Paulínia, SP - CEP: 13140-284.', 'Consulte o CNPJ da BRASA VIVA de Paulínia, SP, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0...']"
RESTAURANTE DOMINGOS VITORIA,NAO DISPONIBILIZADO,"['https://restaurantespertodemim.com/e/restaurante-domingos-vitoria-bwpzcg/', 'https://local.infobel.br.com/BR137628107/restaurante_domingos_vitoria-castanhal.html', 'https://consultas.plus/lista-de-empresas/para/castanhal/04439222000166-m-g-lima-sousa-eventos-ltda/', 'http://cnpj.info/M-G-Lima-Sousa-Eventos-Restaurante-Domingos-Vitoria', 'https://cadastroempresa.com.br/cnpj/04.439.222/0001-66-restaurante-domingos-vitoria-m-g-lima-sousa-eventos-ltda', 'https://www.cnpj.digital/empresa/m-g-lima-sousa-eventos-ltda/04439222000166', '/search?q=RESTAURANTE+DOMINGOS+VITORIA,+CASTANHAL+-+PA&tbm=isch&source=univ&fir=9I5Lgjk1VUbSfM%252C6hrKdCx2KbokoM%252C_%253B5vsF0EUEHYm6pM%252CCfUbzTFAhCKmWM%252C_%253B9nMxu79GLO1VYM%252CLdOXM-m3KCh6fM%252C_%253BGQ1a80JaLmwuyM%252CCfUbzTFAhCKmWM%252C_%253BH9dsoH0bilKFPM%252CHz8EMyZLT_JztM%252C_%253BL-tvpBVSRHEQbM%252CzAhoXh9tGdij4M%252C_%253BYgrTwWERMx7ixM%252CCfUbzTFAhCKmWM%252C_%253B6wyb9sNVw3Zx2M%252CfokCloqss_ZERM%252C_%253BVhTufl10f82b0M%252CzAhoXh9tGdij4M%252C_%253BIBnDLS-342su6M%252CCfUbzTFAhCKmWM%252C_&usg=AI4_-kQEpyoSxU3Twd_r005XsTB03KDKVA&sa=X&ved=2ahUKEwiqg7z465D9AhUGF1kFHSumDaEQjJkEegQINxAC']","['Rua Marechal Deodoro, 891. Ianetama, Castanhal - PA · Razão Social: M G Lima Sousa & Eventos Ltda · CNPJ: 04.439.222/0001-66 · Data de abertura: 16/04/2001.', 'Restaurante Domingos Vitória - RESTAURANTES, Castanhal, 68745, Rua Marechal Deodoro 891, TEL: 9191758..., Brasil, Nesta página : Restaurante Domingos\xa0...', 'Apr 16, 2001 — Situação: ATIVA · Número do CNPJ: 04.439.222/0001-66 · Razão Social: M G Lima Sousa & Eventos Ltda · Nome Fantasia: Restaurante Domingos Vitoria\xa0...', 'M G Lima Sousa & Eventos LTDA | Restaurante Domingos Vitoria ... CASTANHAL - PA ... Diversificados subgrupos de restaurantes compõem essa modalidade,\xa0...', 'Restaurante Domingos Vitoria - M G Lima Sousa & Eventos LTDA com CNPJ 04.439.222/0001-66 é uma empresa de Castanhal/PA. Acesse para mais informações.', 'Consulte o número do CNPJ, endereço e o telefone de ""M G Lima Sousa & Eventos Ltda"" (04.439.222/0001-66) de Castanhal, PA.']"
ADEGA,NAO DISPONIBILIZADO,"['https://www.instagram.com/adegarestauranteoficial/?hl=en', 'https://www.facebook.com/adegarestaurantetp/', 'https://www.tripadvisor.com.br/Restaurant_Review-g2344829-d5351899-Reviews-Adega-Tres_Pontas_State_of_Minas_Gerais.html', 'https://www.clickdisk.com.br/telefone/tres-pontas/restaurante-adega-choperia', 'https://restaurantguru.com.br/Adega-Choperia-Tres-Pontas', 'https://pt.foursquare.com/v/adega/4e9241115c5ce36b18f1e9b1', 'https://www.solutudo.com.br/empresas/mg/tres-pontas/restaurantes/adega-restaurante-e-cafeteria-22328169', 'https://www.flickr.com/photos/supertelnet/8500780804/']","['Delicioso Restaurante e Choperia Adega de Três Pontas Delivery (35) 3265 4161 · 1,650 posts · 4,081 followers · 3,152 following.', 'RESTAURANTE ADEGA - CHOPERIA. (35) 3265-4161 99875-4994 Chame no WhatsApp. TRES PONTAS - MG. Compartilhe: O que mais perguntam sobre a RESTAURANTE ADEGA -\xa0...', 'Jan 15, 2023 — ADEGA - Restaurante e Cafeteria, #3 entre Três Pontas cafeterias: 557 avaliações e 21 fotos detalhadas ... Três Pontas, Minas Gerais, Brasil.', 'Veja 14 fotos de 161 clientes sobre música ao vivo , aconchegante , e bom pra levar grupos . ""Aconchegante, comida muito saborosa, bom atendimento e...""', 'A empresa ADEGA - Restaurante e Cafeteria trabalha na categoria Restaurantes na cidade de Três Pontas, MG na Praça Presidente Vargas, Nº 62 - Centro.', 'adega bar restaurante chooperia churrascaria pizzaria balada tres pontas minas gerais.']"
PANIFICADORA JANAINA,NAO DISPONIBILIZADO,"['https://www.econodata.com.br/consulta-empresa/01450441000158-A-FONSECA-PANIFICADORA', 'https://cnpj.biz/02588423000108', 'https://www.diariocidade.com/pr/maringa/guia/panificadora-janaina-02588423000108/', '/search?q=PANIFICADORA+JANAINA,+MARINGA+-+PR&tbm=isch&source=univ&fir=s78F_AB1HAarMM%252Ce2VXBAsEOQcfYM%252C_%253B_813Vi68yNxv-M%252ChAAG8uaLIulHkM%252C_%253B6Ep9VCDW54JTSM%252C3StYJC7v4XFLkM%252C_%253B34Hzf1CgFkZrGM%252Cg9d8CxGEovhNoM%252C_%253BG0MLwMgYSfiQYM%252C-eIaAUIoPLqccM%252C_%253Bvkc7AxcWX8PMkM%252Ce2VXBAsEOQcfYM%252C_%253BPE8dPSP0w0DAxM%252Ci5JCr_oMflZMZM%252C_%253B5Wt74RiE4iFlLM%252CKfAUAJFge1TWxM%252C_%253BRdUIhMwFOMi4nM%252Ci5JCr_oMflZMZM%252C_%253ByvUv5MaBLlcMxM%252CTL8G1RBILfN20M%252C_&usg=AI4_-kRNWZxa0deRnjPFptmMZC7v3Susiw&sa=X&ved=2ahUKEwjVoeCE7JD9AhUwFlkFHRkyBvYQjJkEegQIEhAC', 'https://transparencia.cc/dados/cnpj/02588423000108-PR-panificadora-e-lanchonete-janaina-ltda/', 'https://www.brazilguide.net/c/panificadora-e-lanchonete-janaina-ltda-02588423000108', 'https://www.jusbrasil.com.br/busca?q=lanchonete+e+panificadora+janaina+ltda', 'https://www.facebook.com/Panificadoravalentine/']","['02.588.423/0001-08. PANIFICADORA JANAINA. (PANIFICADORA E LANCHONETE JANAINA LTDA). 87.055-280. Rua Pioneiro Jose Raimundo de Oliveira, 42 - Jardim Sao\xa0...', 'Jun 18, 1998 — CNPJ: 02.588.423/ ; Inscrição Estadual PR: 90161384-25 ; Razão Social: Panificadora e Lanchonete Janaina LTDA ; Nome Fantasia: Panificadora Janaina.', 'Panificadora Janaina em Maringá - PR, Paraná. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.', 'Nov 9, 2022 — Estado: PR ; Município: Maringa ; Bairro: Jardim Sao Silvestre ; Logradouro: Rua Pioneiro Jose Raimundo De Oliveira ; Número: 42\xa0...', 'A empresa Panificadora Janaina localizada em Rua Pioneiro José Raimundo de Oliveira, 42, Jardim São Silvestre, Maringá/PR - possui CNPJ 025.884.230/0010-8.', 'ORIGEM: 3ª VARA CÍVEL DE MARINGÁ.APELANTE (1): LANCHONETE E PANIFICADORA JANAÍNA LTDA APELANTE (2): BANCO ITAÚ UNIBANCO S/A.APELADOS: OS MESMOS.', 'Panificadora Valentine, Maringá. 753 likes. Product/service. ... Panificadora Valentine is now on WhatsApp. David Edson ... Janaina Rosa · \U000f0925 1 · \U000f0926 · \U000f0927.']"
BASILIO PIZZARIA,NAO DISPONIBILIZADO,"['https://m.facebook.com/people/Baz%C3%ADlio-Pizzaria/100063672547243/', 'https://pizzariaspertodemim.com/e/basilio-pizzaria-akfqqc/', 'https://www.econodata.com.br/consulta-empresa/07518034000111-BISTRO-SENSORIALL-JCS-LTDA', 'https://restaurantguru.com.br/Pizzaria-Caputo-Delivery-Maringa', 'https://www.diariocidade.com/pr/maringa/guia/bazilio-cozinha-brasileira-07518034000111/', 'https://www.instagram.com/caputopizzaria/?hl=en', 'https://cnpj.biz/07518034000111', '/search?q=BASILIO+PIZZARIA,+MARINGA+-+PR&tbm=isch&source=univ&fir=AtJ1LIDYd66BiM%252Cd8ZDfTLGGgAdfM%252C_%253BqjuYp0Ps1UulOM%252ChgChFSImC7wPjM%252C_%253BNycQRKotWFnUFM%252Cr4txsVu6MM-0TM%252C_%253Bs8d4sc2WNUcypM%252Cr4txsVu6MM-0TM%252C_%253BfoRGoExR4qKX1M%252Ck80TlgsEOSyzcM%252C_%253BIk0QpzsG1oLebM%252CA4uh2PDetyXkqM%252C_%253BoC5-n6wdt43EIM%252Ca0Lh9rI4LgoXhM%252C_%253BaujtDXxFZzydnM%252CA4uh2PDetyXkqM%252C_%253BlzQdAoFaoBOqfM%252Ctj80lWQ5gWpm-M%252C_%253B7Yh6nHj3bpGAcM%252C10Z5CLyf_5_sTM%252C_&usg=AI4_-kTYjYZpKwa6m31N33MjNRMznTG9QQ&sa=X&ved=2ahUKEwjoqYaL7JD9AhUOEVkFHS8KC_IQjJkEegQIERAC']","['Pizzas com massa de longa fermentação, molho artesanal único e com os melhores ingredientes e ... Av. Dr. Gastão Vidigal, número 1605, Maringá, PR, Brazil.', 'Veja o Endereço, Telefone, Localização e CNPJ da empresa Basilio Pizzaria, para encontrar Pizzarias em Av Lucilio de Held, Jardim Alvorada, Maringá - PR\xa0...', 'Consulte o CNPJ da BASILIO PIZZARIA de Maringá, PR, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários\xa0...', 'Feb 1, 2023 — Pizzaria Caputo, #10 entre Maringá pizzarias: 414 avaliações e 32 fotos ... Basílio Sautchuk, 157, 87013-190. Maringá, Paraná, Brasil.', 'Confira no mapa como chegar em Basilio Pizzaria, no endereço: Avenida Lucilio de Held, 1326, SALA 03, Jardim Alvorada, Maringá-PR. CEP: 87033-230 .', 'Caputo Pizzaria. Pizza place. A verdadeira Pizza Paulista Gourmet em Maringá com ingredientes ... 3030 2929 Ou IFOOD Rua vereador Basílio Saltichuk 157.', 'Todos os dados da empresa Basilio Pizzaria Bistro Sensoriall Jcs LTDA com CNPJ 07.518.034/0001-11 - 07518034000111 de Maringá/PR. Telefone, E-mail...']"
LES CHEFS,NAO DISPONIBILIZADO,"['https://menulist.menu/restaurants/eusebio/les-chefs-4', 'https://www.solutudo.com.br/empresas/ce/eusebio/restaurantes/les-chefs-9904492', '/search?q=LES+CHEFS,+EUSEBIO+-+CE&tbm=isch&source=univ&fir=0W2L6n9lHVI5sM%252CvS8puEGkEWHFUM%252C_%253BCtcFyoaGkIsYEM%252CHPgu_lnP26GxaM%252C_%253BTqptpJVamwQsUM%252CsUl8UWRlBeutlM%252C_%253BBrIOF5SU3q5DnM%252CZbIVcYnw8owKvM%252C_%253BQ5_waDZ078hrSM%252CDdsslYxjz_Zj2M%252C_%253BqZZlePg7X_dqIM%252CimnnhvbZV5HNpM%252C_%253BrBIvi5lz_3zklM%252CgdL5EAz8i53-oM%252C_%253BVd6h5PutiDuGrM%252CzLFHqvTl3Q2j8M%252C_%253BSAUcRVk6Iz0vRM%252CsUl8UWRlBeutlM%252C_%253Bx50j3OBie_F-0M%252CgdL5EAz8i53-oM%252C_&usg=AI4_-kTzmp15jmpK4S5kd35PJ_RJWKAZHA&sa=X&ved=2ahUKEwi22tGR7JD9AhU9E1kFHQRUA2UQjJkEegQICRAC', 'https://www.descubraonline.com/guia/ce/eusebio/les-chefs-05426576000139/', 'https://www.diariocidade.com/ce/eusebio/guia/les-chefs-05426576000139/', 'https://www.turismo2rodas.com/ce/eusebio/guia/les-chefs-05426576000139/', 'https://lojasshoppingfortaleza.com.br/ce/les-chefs-centro-eusebio-bares-e-restaurantes-491344', 'https://cidadeurgente.com/ce/eusebio/guia/les-chefs-05426576000139/', 'https://fr.tripadvisor.ch/Restaurants-g2345179-c20-Eusebio_State_of_Ceara.html', 'https://books.google.com/books?id=VnBZAAAAcAAJ&pg=PA274&lpg=PA274&dq=LES+CHEFS,+EUSEBIO+-+CE&source=bl&ots=XR_sWEwfFJ&sig=ACfU3U1ppmXJkWPmlcwBm_KlCF-xdq-DQw&hl=en&sa=X&ved=2ahUKEwi22tGR7JD9AhU9E1kFHQRUA2UQ6AF6BAgmEAM']","['In this place delicious Pizza is freshly baked in the traditional way, and you can expect typical Italian cuisine with classics like pizza and pasta. Details.', 'Les Chefs ; Endereço. Rua Coronel Cicero Sa, 850, Centro Eusébio/CE - CEP 61760-970 ; Telefone. (85) 3231-2400.', 'LES CHEFS ALIMENTOS LTDA com o CNPJ 05.426.576/0001-39, iniciou as atividades em 18/10/2002. A principal atividade dessa empresa é Restaurantes e Similares.', 'Confira no mapa como chegar em Les Chefs, no endereço: Rua Coronel Cicero Sa, 850, Centro, Eusébio-CE. CEP: 61760-970 . Compartilhe:\xa0...', 'Les Chefs em Eusébio, Ceará. Acesse agora e confira ✆ telefones, endereço e horários de atendimento dessa empresa | Turismo2Rodas.', 'Telefone Les Chefs - Centro - Eusebio - Bares e Restaurantes. Endereço: Rua Coronel Cicero Sa 850 CEP: 61760970. Bairro: Centro. Cidade: Eusébio\xa0...', 'Les Chefs em Eusébio - CE, Ceará. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Guia da Cidade.', 'Restaurants - cuisine Française à Eusebio, État du Ceará : lisez sur Tripadvisor des avis sur Eusebio restaurants, recherchez par prix, quartier, etc.']"
BRITU'S BAR,NAO DISPONIBILIZADO,"['https://www.tripadvisor.com/Restaurant_Review-g2343033-d5330790-Reviews-Britu_s_Bar-Catanduva_State_of_Sao_Paulo.html', ""/search?q=BRITU'S+BAR,+CATANDUVA+-+SP&tbm=isch&source=univ&fir=bl2eyufjAE8WOM%252CbVCG5cSBOu8U2M%252C_%253B0T2YujQRlLLoJM%252CDvgBC5Y90QNJzM%252C_%253BvCL2TSqga44KQM%252COh6aoquxFVAfXM%252C_%253BLOvSfvGoVNha5M%252CZpPHC97IkkHsEM%252C_%253BUMUUiEUH5AfkTM%252CM-eZJ5oqQWRwjM%252C_%253B1pcJURV8hIpPMM%252CM-eZJ5oqQWRwjM%252C_%253B76kixe0OrmmPCM%252CP4uooDOEJGaByM%252C_%253BMxCu2tzgGjNaGM%252CM-eZJ5oqQWRwjM%252C_%253BhQlv0k0YW3P9sM%252Cq7-STN1Q56ECAM%252C_%253BwJ9r_xQBcnDMEM%252CM-eZJ5oqQWRwjM%252C_&usg=AI4_-kSJSfWZCkaXeQeJn7-3aGRQYJwFTg&sa=X&ved=2ahUKEwiwmOSX7JD9AhWPM1kFHfz7D0IQjJkEegQIORAC"", 'https://www.econodata.com.br/consulta-empresa/00962422000148-CELSO-DE-FREITAS-JUNIOR', 'https://www.facebook.com/Brauhaus-PUB-307753110050110/', 'http://cnpj.info/britu', 'https://transparencia.cc/dados/cep/15806305-rua-ilheus-bairro-sao-francisco-catanduva-sp/', 'https://m.yelp.com/biz/villa-brasil-trutaria-catanduva', 'https://www.instagram.com/tbtbarelounge/?hl=en']","[""Britu's Bar, Catanduva: See 2 unbiased reviews of Britu's Bar, rated 3.5 of 5 on Tripadvisor and ranked #157 of 297 restaurants in Catanduva."", ""Consulte o CNPJ da BRITU'S BAR de Catanduva, SP, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0..."", 'Brauhaus PUB. 527 likes · 31 talking about this · 1807 were here. Pub. ... Brauhaus PUB (Catanduva, SP, Brazil). \ufeff. 3.5 37 reviews. · Pub. Call Now.', ""Fantasia nome: Britu'S Bar Localização: Sao Francisco, Catanduva - SP; CNPJ: 01.931.971/0001-.. | 019319710001.. [ MATRIZ ] - BAIXADA desde 2008-12-31"", ""Nome Fantasia: BRITU'S BAR. Município / UF: CATANDUVA / SP. Logradouro: RUA ILHEUS. Bairro: SAO FRANCISCO. Número: 193. Complemento: CEP: 15806305\xa0..."", 'Steakhouses, Beer Bar, Italian. Open • 6:00 pm - 11:00 pm. Unclaimed. Add Review · Call. Directions. Website. Photos. Add Photo. Map. R. Minas Gerais, 1302.', 'BAR DÚ CARECA. Follow. pink_star_make_up. Noeli Rorato Barboza. Follow. baile2k30. Baile 2k30. Follow. dellartecatanduva. Dellarte Catanduva.']"
EDI LANCHES,+55 17 3523-3097,"['https://m.facebook.com/profile.php?id=317441488408635&__tn__=C-R', 'https://www.tripadvisor.com/Restaurant_Review-g2343033-d5342074-Reviews-Edi_Lanches-Catanduva_State_of_Sao_Paulo.html', 'https://restaurantguru.com/Edi-Lanchonete-Catanduva', 'https://www.solutudo.com.br/empresas/sp/catanduva/restaurantes/edi-lanches-1275468', 'https://www.instagram.com/edilanches500/?hl=en', 'https://foursquare.com/v/%C3%A9di-lanches/50760e1de4b021b490d89228', 'https://inteligue.com.br/edi-lanches', 'https://cnpj.biz/04077989000192', '/search?q=EDI+LANCHES,+CATANDUVA+-+SP&tbm=isch&source=univ&fir=SRs-FfIe7aNpsM%252CQXx3Zq6jSVvQ4M%252C_%253BVvwMXNDNKQeiaM%252CEck6CSjKEMwSxM%252C_%253B5LNofY1OB3sH-M%252CNt3gXZU4XL8eBM%252C_%253Blc77E9w--aRKRM%252CLk1fx7PT7bMu6M%252C_%253BcL4xIWCM_Pzc7M%252CUo2Dcb_fiorlqM%252C_%253B6TrNVA2N8onaaM%252Coxta_KoAkdTDMM%252C_%253B8KxEyibABCKXhM%252CqKHLBQQ8qOXOfM%252C_%253BWMVVtO5mH_f94M%252Coxta_KoAkdTDMM%252C_%253BsxubTJvpuwgJtM%252CSKBGJnmqCNx-8M%252C_%253B1o5A2bb--W3YxM%252CUo2Dcb_fiorlqM%252C_&usg=AI4_-kQwZKnV-nL10uEX9D_cHmNHH4VwWQ&sa=X&ved=2ahUKEwjhtZee7JD9AhVXFlkFHSipClQQjJkEegQIHBAC']","['Edi Lanches · 1,164 people checked in here · http://edilanches.placeweb.site/ · +55 17 3522-3879 · Diner · Price Range · $ · Indoor Dining · Heated Outdoor Seating.', ""4.0 1 review. #108 of 152 Restaurants in Catanduva. There aren't enough food, service, value or atmosphere ratings for Edi Lanches, SP yet."", ""Jan 9, 2023 — This bar offers perfectly cooked monkfish. It's usually a good idea to try something new, enjoying the calm ambiance. Edi Lanches is ranked\xa0..."", 'A empresa Edi Lanches trabalha desde 2000 na categoria Restaurantes na cidade de Catanduva, SP na Rua Marilia, Nº 579 - Jardim Bela Vista.', 'Edi Lanches e Porções na Telha. Fone 17 35233097. Av Palmares 1255. Jd Bela Vista Catanduva SP Não fazemos entrega. 517 posts. 941 followers. 152 following.', ""See what your friends are saying about Édi Lanches. By creating an account you are able to follow friends and experts you trust and see the places they've\xa0..."", 'Veja o telefone e endereço da empresa EDI LANCHES Catanduva, Restaurante em Catanduva - SP. R Marília, Vila Pelinson. Fone (17) 3522-387...', 'Todos os dados da empresa Edi Lanches Edi Lanchonete e Churrascaria LTDA com CNPJ 04.077.989/0001-92 - 04077989000192 de Catanduva/SP. Telefone, Endereço...']"
NASCENTE,+55 17 99718-5520,"['/search?q=NASCENTE,+CATANDUVA+-+SP&tbm=isch&source=univ&fir=VV4Lhht3CoNOLM%252Cb4UZ8MPBHcmpfM%252C_%253BmUgJlhpO4o5pHM%252Cb4UZ8MPBHcmpfM%252C_%253BY646m2KcJPMeWM%252Cto62J4SB1ydSDM%252C_%253BkRs3ZrwSEfkKlM%252COYGX5hgt2rxt9M%252C_%253BH1aeAGqbtnFcvM%252Cto62J4SB1ydSDM%252C_%253BTRGoQSqJkGZevM%252ChnyNNma6tiDa0M%252C_%253BcbzQsdAAcH0AcM%252CJKTs219qHUWLUM%252C_%253BjK2derJLI2SB-M%252ChnyNNma6tiDa0M%252C_%253BTzfI_edelGb18M%252Cto62J4SB1ydSDM%252C_%253BvnIYY9JfyBS9WM%252C0pEZDHxOGTav5M%252C_&usg=AI4_-kTj1vslKPH_EV8AdEmd-RHkJi5qAQ&sa=X&ved=2ahUKEwi9momk7JD9AhWyFVkFHYjvAGEQjJkEegQICRAC', 'http://www.catanduva.sp.gov.br/2021/03/12/prefeitura-desenvolve-trabalho-de-recuperacao-da-nascente-modelo/', 'https://www.solutudo.com.br/sp/catanduva/restaurantes/nascente-1274871', 'https://www.researchgate.net/figure/FIGURA-5-Percurso-do-Rio-Sao-Domingos-da-nascente-a-foz-e-os-municipios-que-compoem-a_fig1_301766322', 'https://pt.wikipedia.org/wiki/Rio_S%C3%A3o_Domingos_(S%C3%A3o_Paulo)', 'https://www.diariocidade.com/sp/catanduva/guia/nascente-01747348000290/', 'https://www.econodata.com.br/consulta-empresa/47530543000184-SOL-NASCENTE-CONSULTORIA-E-ASSESSORIA-LTDA', 'https://www.descubraonline.com/guia/sp/catanduva/nascente-01747348000290/', 'http://wikimapia.org/20051231/pt/Nascente-c%C3%B3rrego-Aguas-Claras']","['Nascente ; Endereço. Rua Paraiba, 240, Centro Catanduva/SP - CEP 15800-070 ; Telefones. (17) 3524-1474\xa0...', 'Nascente em Catanduva - SP, São Paulo. Confira ✆ telefones, endereço, e-mail, atividade principal, razão social | Guia de empresas | Diário Cidade.', 'Consulte o CNPJ da SOL NASCENTE de Catanduva, SP, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de funcionários,\xa0...', 'NASCENTE REFEICOES COLETIVAS EIRELI com o CNPJ 01.747.348/0002-90, iniciou as atividades em 27/03/2017. A principal atividade dessa empresa é Restaurantes e\xa0...', 'Nascente córrego Aguas Claras. Brazil / Sao Paulo / Catanduva /. World / Brazil / Sao Paulo / Catanduva Mundo / Brasil / São Paulo / Catanduva.']"
FRONTEIRA SUL I,+55 85 3215-3397,[],[]
RESTAURANTE O MINEIRO,NAO DISPONIBILIZADO,"['https://www.facebook.com/omineirodelivery/?locale=pt_BR', 'https://www.tripadvisor.com.br/Restaurant_Review-g303518-d6167629-Reviews-Restaurante_o_Mineiro-Natal_State_of_Rio_Grande_do_Norte.html', 'https://www.ifood.com.br/delivery/natal-rn/restaurante-o-mineiro-ponta-negra/519f23fb-0c03-458d-9452-23293f08a68f', 'https://m.yelp.com/biz/bar-e-restaurante-o-mineiro-natal', 'https://www.instagram.com/mineirodeliverynatal02/', 'https://www.econodata.com.br/consulta-empresa/03597354000153-RESTAURANTE-O-MINEIRO-LTDA']","['O restaurante O Mineiro foi criado pensando no que todo mundo quer: Comida caseira, com muita... Av. Engenheiro Roberto Freire, 3170, 59090000 Natal, RN.', 'Local bem aconchegante e agradável,atendimento excelente,uma variedade enorme de comida mineira, além de variedade enorme de sobremesa;porém os preços não são\xa0...', 'Photos · Map · R. dos Paianazes 1496. Natal - RN 59037-350. Brazil. Directions · (84) 3223-4916. Call Now · More Info. Menu for Bar e Restaurante O Mineiro · Known\xa0...', 'A verdadeira comida no box! Ligue e peça: 3343-1897 / 99450-2252 / 99958-3241. Av. Almirante Alexandrino de Alencar 1207, Bairro Tirol, Natal/RN.', 'Consulte o CNPJ da RESTAURANTE O MINEIRO de Natal, RN, seus sócios e contatos como telefones, emails e website, além de faturamento, quantidade de\xa0...']"
BAR E RESTAURANTE CHALANA,NAO DISPONIBILIZADO,"['https://www.instagram.com/chalanabarhistorias/', 'https://www.tripadvisor.com.br/ShowUserReviews-g2348712-d776103-r173510044-Barra_de_Cunhau-Canguaretama_State_of_Rio_Grande_do_Norte.html', '/search?q=BAR+E+RESTAURANTE+CHALANA,+NATAL+-+RN&tbm=isch&source=univ&fir=5qUzkPJRdeBThM%252CjzL4c_gwNIi6-M%252C_%253BfrfHUqrcCHUaTM%252CjzL4c_gwNIi6-M%252C_%253Bgnd5zDeZ2LcVlM%252CmJmzeasfr08usM%252C_%253B-2-h0lmzWn5YcM%252CsjHmMnK-XdJ6bM%252C_%253Bg0f6T2RnPngiFM%252CDF_FJGeY3EVzpM%252C_%253B7ULHv8ox_psfVM%252CIM85_jReu4iX5M%252C_%253BeXZgGFyh92azqM%252CFOYi454ExUlsSM%252C_%253BYS7dsUkrNubCUM%252CFOYi454ExUlsSM%252C_%253BEhvs2VX-JuaM2M%252CZ87YT3lhsSF2wM%252C_%253BoazWSDgt9le4nM%252ChM04JojfK_MexM%252C_&usg=AI4_-kTdlDpaOWzsfgEomWx6ZOO0bs_G_w&sa=X&ved=2ahUKEwjfnuS27JD9AhW2FFkFHSXNCmoQjJkEegQIRxAC', 'https://www.tripadvisor.com/Restaurant_Review-g303518-d12404103-Reviews-Restaurante_e_Bar_do_Feijao-Natal_State_of_Rio_Grande_do_Norte.html', 'https://cnpj.biz/40791568000192', 'https://m.feriasbrasil.com.br/rn/natal/dicas.cfm?IDgrupo=17', 'https://www.youtube.com/watch?v=a-xjg7_atBI', 'https://viagemclub.com.br/passeio-chalana-em-porto-seguro/']","['O seu bar no melhor lugar da cidade De Sexta a Domingo ⏰ A partir das 19h A cerveja mais gelada da região Os melhores petiscos e porções.', 'BR 101 South then, after reaching Canguaretama, take RN 269 | Natal: 88 Km, ... de ir andando até a praia (tem um ""bar"" bem improvisado, mas vale a pena,\xa0...', 'Restaurante e Bar do Feijao, Natal: See unbiased reviews of Restaurante e ... Natal, State of Rio Grande do Norte 59108-150 Brazil 558433017380 Website Menu.', 'Todos os dados da empresa Restaurante Dois Tempos LTDA com CNPJ 40.791.568/0001-92 - 40791568000192 de Natal/RN. Endereço, Situação, CNAE(s)...', 'Café da manhã, limpeza,atendimento, tudo dou nota 10. Visitamos vários bares ,restaurantes,e feiras artesanais, tudo ali mesmo em Ponta Negra e nos arredores.', 'No passaporte do passeio de chalana em Porto Seguro está incluso o almoço no restaurante exclusivo para os turistas. Com cardápio variado, cada um pode se\xa0...']"
